Channel,DateFrom,DateTime,DateTo,identifier,Price,Section,source_timestamp
VPH,2018-12-14T06:04:56.000Z,2018-12-14T06:06:31.807Z,2018-12-14T13:30:00.000Z,0006948e-c551-4870-be22-66553dea14f1,260,P1-0304,2018-12-14 06:06:31.807
PARKMACHINE,2018-12-14T06:05:58.387Z,2018-12-14T06:06:28.823Z,2018-12-14T12:00:00.000Z,d9a0651d-28f3-4ba8-a8be-02476a2e9e71,75,P3-0286,2018-12-14 06:06:28.823
VPH,2018-12-14T06:04:45.000Z,2018-12-14T06:06:27.950Z,2018-12-14T13:45:00.000Z,d4070e80-349d-4b21-bb76-a1ce52ee1381,270,P2-0135,2018-12-14 06:06:27.95
VPH,2018-12-14T06:04:35.000Z,2018-12-14T06:06:23.463Z,2018-12-14T11:00:00.000Z,79ea0b41-4ddd-46e6-b5a1-c6c90e8d8038,80,P3-0252,2018-12-14 06:06:23.463
VPH,2018-12-14T06:06:08.000Z,2018-12-14T06:06:20.510Z,2018-12-14T12:00:00.000Z,89ce0785-3b40-4ebf-b685-51463f11795e,50,P6-1305,2018-12-14 06:06:20.51
PARKMACHINE,2018-12-14T06:05:51.000Z,2018-12-14T06:06:14.353Z,2018-12-14T07:30:00.000Z,98362bbc-fee6-41e6-b94b-6a4c765a6786,20,P4-1741,2018-12-14 06:06:14.353
VPH,2018-12-14T06:04:18.000Z,2018-12-14T06:06:06.450Z,2018-12-14T08:40:00.000Z,1169e798-f720-4311-a111-44fad6a2ef53,50,P3-0325,2018-12-14 06:06:06.45
PARKMACHINE,2018-12-14T06:05:46.583Z,2018-12-14T06:06:02.683Z,2018-12-14T08:00:00.000Z,8bb0d351-cc29-4032-9b8f-2e4f4864327a,30,P5-1526,2018-12-14 06:06:02.683
VPH,2018-12-14T06:04:18.000Z,2018-12-14T06:05:55.870Z,2018-12-14T09:30:00.000Z,11b193c8-2b3c-4114-ab13-6de666dbf10d,50,P5-1546,2018-12-14 06:05:55.87
PARKMACHINE,2018-12-14T06:05:29.760Z,2018-12-14T06:05:49.200Z,2018-12-14T07:30:00.000Z,f7ea5201-c2b4-4d88-b5f0-d1037547ce09,10,P4-2054,2018-12-14 06:05:49.2
VPH,2018-12-14T06:03:47.000Z,2018-12-14T06:05:46.247Z,2018-12-14T09:00:00.000Z,b5e26290-24a0-418a-87ab-359d88a6281f,40,P7-0140,2018-12-14 06:05:46.247
VPH,2018-12-14T06:05:07.000Z,2018-12-14T06:05:35.480Z,2018-12-14T08:07:30.000Z,891433b5-4ad4-43e0-be3a-38255aa6477c,45,P2-0236,2018-12-14 06:05:35.48
VPH,2018-12-14T06:04:04.000Z,2018-12-14T06:05:23.183Z,2018-12-14T12:00:00.000Z,15d45529-bba1-40a5-823e-5dd034382214,100,P4-1479,2018-12-14 06:05:23.183
PARKMACHINE,2018-12-14T06:04:54.440Z,2018-12-14T06:05:09.713Z,2018-12-14T15:00:00.000Z,31294cbe-6b90-41ea-9f5d-cb71030bbc21,80,P6-0248,2018-12-14 06:05:09.713
VPH,2018-12-14T06:02:31.000Z,2018-12-14T06:04:55.823Z,2018-12-14T11:12:00.000Z,f8135032-ff26-4d48-90a1-6a96ebeb1994,126,P4-1660,2018-12-14 06:04:55.823
VPH,2018-12-14T06:04:20.000Z,2018-12-14T06:04:52.870Z,2018-12-14T07:20:00.000Z,740558d4-ddbf-4641-b417-966e6ddaf8f6,10,P5-1405,2018-12-14 06:04:52.87
